Date : 2024-05-18 20:01:40
Directory : /home/bond/Desktop/darkpatterncombined/agents/skyvern
Total : 238 files,  32309 codes, 780 comments, 3758 blanks, all 36847 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Python             |         99 |     10,627 |        514 |      1,897 |     13,038 |
| JSON               |          6 |      6,976 |          0 |          4 |      6,980 |
| toml               |          2 |      6,749 |          0 |        597 |      7,346 |
| TypeScript JSX     |         52 |      3,463 |          1 |        366 |      3,830 |
| JavaScript         |          5 |      1,131 |        112 |        125 |      1,368 |
| TypeScript         |         25 |        860 |          5 |        138 |      1,003 |
| MDX                |         14 |        764 |          0 |        232 |        996 |
| Markdown           |          7 |        535 |         38 |        206 |        779 |
| YAML               |          7 |        306 |         58 |         40 |        404 |
| Shell Script       |          6 |        237 |         46 |         49 |        332 |
| CSS                |          1 |        157 |          0 |         23 |        180 |
| XML                |          3 |        155 |          0 |          3 |        158 |
| Jinja              |          3 |        150 |          0 |         33 |        183 |
| Ini                |          3 |        114 |          1 |         27 |        142 |
| JSON with Comments |          1 |         26 |          3 |          4 |         33 |
| Docker             |          1 |         24 |          0 |         11 |         35 |
| Ignore             |          2 |         22 |          2 |          2 |         26 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |        238 |     32,309 |        780 |      3,758 |     36,847 |
| . (Files)                                                                                                                                       |         18 |      7,664 |        109 |        842 |      8,615 |
| .github                                                                                                                                         |          5 |        187 |         36 |         29 |        252 |
| .github (Files)                                                                                                                                 |          1 |         21 |          0 |          0 |         21 |
| .github/workflows                                                                                                                               |          4 |        166 |         36 |         29 |        231 |
| alembic                                                                                                                                         |         14 |        631 |         74 |        146 |        851 |
| alembic (Files)                                                                                                                                 |          2 |         72 |         12 |         29 |        113 |
| alembic/versions                                                                                                                                |         12 |        559 |         62 |        117 |        738 |
| docs                                                                                                                                            |         20 |      1,229 |          0 |        250 |      1,479 |
| docs (Files)                                                                                                                                    |          6 |        366 |          0 |         72 |        438 |
| docs/api-reference                                                                                                                              |          5 |        233 |          0 |         11 |        244 |
| docs/api-reference (Files)                                                                                                                      |          2 |        221 |          0 |          8 |        229 |
| docs/api-reference/endpoint                                                                                                                     |          3 |         12 |          0 |          3 |         15 |
| docs/essentials                                                                                                                                 |          6 |        520 |          0 |        164 |        684 |
| docs/logo                                                                                                                                       |          2 |        106 |          0 |          2 |        108 |
| docs/snippets                                                                                                                                   |          1 |          4 |          0 |          1 |          5 |
| scripts                                                                                                                                         |          2 |         45 |          3 |         22 |         70 |
| skyvern                                                                                                                                         |         82 |     10,345 |        524 |      1,783 |     12,652 |
| skyvern (Files)                                                                                                                                 |          6 |        268 |         22 |        123 |        413 |
| skyvern-frontend                                                                                                                                |         90 |     11,410 |         12 |        573 |     11,995 |
| skyvern-frontend (Files)                                                                                                                        |         13 |      6,947 |          7 |         48 |      7,002 |
| skyvern-frontend/src                                                                                                                            |         77 |      4,463 |          5 |        525 |      4,993 |
| skyvern-frontend/src (Files)                                                                                                                    |          5 |        230 |          1 |         32 |        263 |
| skyvern-frontend/src/api                                                                                                                        |          3 |        145 |          0 |         23 |        168 |
| skyvern-frontend/src/components                                                                                                                 |         35 |      1,962 |          3 |        291 |      2,256 |
| skyvern-frontend/src/components (Files)                                                                                                         |          8 |        138 |          0 |         39 |        177 |
| skyvern-frontend/src/components/ui                                                                                                              |         27 |      1,824 |          3 |        252 |      2,079 |
| skyvern-frontend/src/hooks                                                                                                                      |          2 |         40 |          0 |         10 |         50 |
| skyvern-frontend/src/routes                                                                                                                     |         26 |      2,030 |          1 |        147 |      2,178 |
| skyvern-frontend/src/routes/root                                                                                                                |          3 |        132 |          0 |         11 |        143 |
| skyvern-frontend/src/routes/settings                                                                                                            |          2 |         70 |          0 |          7 |         77 |
| skyvern-frontend/src/routes/tasks                                                                                                               |         21 |      1,828 |          1 |        129 |      1,958 |
| skyvern-frontend/src/routes/tasks (Files)                                                                                                       |          3 |         17 |          0 |          5 |         22 |
| skyvern-frontend/src/routes/tasks/create                                                                                                        |          2 |        380 |          0 |         15 |        395 |
| skyvern-frontend/src/routes/tasks/data                                                                                                          |          2 |        289 |          0 |         12 |        301 |
| skyvern-frontend/src/routes/tasks/detail                                                                                                        |          8 |        636 |          0 |         54 |        690 |
| skyvern-frontend/src/routes/tasks/list                                                                                                          |          2 |        223 |          0 |         11 |        234 |
| skyvern-frontend/src/routes/tasks/running                                                                                                       |          4 |        283 |          1 |         32 |        316 |
| skyvern-frontend/src/store                                                                                                                      |          3 |         24 |          0 |         10 |         34 |
| skyvern-frontend/src/util                                                                                                                       |          3 |         32 |          0 |         12 |         44 |
| skyvern/forge                                                                                                                                   |         63 |      7,388 |        290 |      1,203 |      8,881 |
| skyvern/forge (Files)                                                                                                                           |          7 |      1,309 |         64 |        146 |      1,519 |
| skyvern/forge/prompts                                                                                                                           |          3 |        150 |          0 |         33 |        183 |
| skyvern/forge/prompts/skyvern                                                                                                                   |          3 |        150 |          0 |         33 |        183 |
| skyvern/forge/sdk                                                                                                                               |         53 |      5,929 |        226 |      1,024 |      7,179 |
| skyvern/forge/sdk (Files)                                                                                                                       |          5 |        273 |         12 |         82 |        367 |
| skyvern/forge/sdk/api                                                                                                                           |          9 |        606 |         16 |        129 |        751 |
| skyvern/forge/sdk/api (Files)                                                                                                                   |          3 |        163 |          6 |         42 |        211 |
| skyvern/forge/sdk/api/llm                                                                                                                       |          6 |        443 |         10 |         87 |        540 |
| skyvern/forge/sdk/artifact                                                                                                                      |          7 |        252 |         21 |         60 |        333 |
| skyvern/forge/sdk/artifact (Files)                                                                                                              |          3 |        147 |         20 |         30 |        197 |
| skyvern/forge/sdk/artifact/storage                                                                                                              |          4 |        105 |          1 |         30 |        136 |
| skyvern/forge/sdk/core                                                                                                                          |          3 |         88 |          0 |         31 |        119 |
| skyvern/forge/sdk/db                                                                                                                            |          7 |      1,612 |          8 |        207 |      1,827 |
| skyvern/forge/sdk/executor                                                                                                                      |          3 |         94 |          0 |         21 |        115 |
| skyvern/forge/sdk/experimentation                                                                                                               |          2 |         17 |          1 |         10 |         28 |
| skyvern/forge/sdk/routes                                                                                                                        |          2 |        477 |          6 |         53 |        536 |
| skyvern/forge/sdk/schemas                                                                                                                       |          2 |        199 |          1 |         32 |        232 |
| skyvern/forge/sdk/services                                                                                                                      |          4 |        222 |         17 |         53 |        292 |
| skyvern/forge/sdk/workflow                                                                                                                      |          9 |      2,089 |        144 |        346 |      2,579 |
| skyvern/forge/sdk/workflow (Files)                                                                                                              |          4 |      1,068 |         42 |        125 |      1,235 |
| skyvern/forge/sdk/workflow/models                                                                                                               |          5 |      1,021 |        102 |        221 |      1,344 |
| skyvern/webeye                                                                                                                                  |         13 |      2,689 |        212 |        457 |      3,358 |
| skyvern/webeye (Files)                                                                                                                          |          5 |        404 |          7 |         83 |        494 |
| skyvern/webeye/actions                                                                                                                          |          5 |        957 |         61 |        194 |      1,212 |
| skyvern/webeye/scraper                                                                                                                          |          3 |      1,328 |        144 |        180 |      1,652 |
| streamlit_app                                                                                                                                   |          7 |        798 |         22 |        113 |        933 |
| streamlit_app/visualizer                                                                                                                        |          7 |        798 |         22 |        113 |        933 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                        | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/.dockerignore                                                                             | Ignore             |         17 |          2 |          2 |         21 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/.flake8                                                                                   | Ini                |         13 |          0 |          0 |         13 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/.github/sync.yml                                                                          | YAML               |         21 |          0 |          0 |         21 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/.github/workflows/build-docker-image.yml                                                  | YAML               |         45 |          0 |          9 |         54 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/.github/workflows/ci.yml                                                                  | YAML               |         66 |         36 |         17 |        119 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/.github/workflows/inactive-issues-and-prs.yml                                             | YAML               |         22 |          0 |          2 |         24 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/.github/workflows/sync-skyvern-cloud.yml                                                  | YAML               |         33 |          0 |          1 |         34 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/.pre-commit-config.yaml                                                                   | YAML               |         74 |          7 |          6 |         87 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/CODE_OF_CONDUCT.md                                                                        | Markdown           |        101 |          0 |         34 |        135 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/CONTRIBUTING.md                                                                           | Markdown           |        112 |         25 |         47 |        184 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/Dockerfile                                                                                | Docker             |         24 |          0 |         11 |         35 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/README.md                                                                                 | Markdown           |        191 |         13 |         64 |        268 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic.ini                                                                               | Ini                |         92 |          1 |         25 |        118 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/README.md                                                                         | Markdown           |         25 |          0 |          6 |         31 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/env.py                                                                            | Python             |         47 |         12 |         23 |         82 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/versions/2024_03_01_0537-99423c1dec60_create_tables.py                            | Python             |        270 |          5 |         10 |        285 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/versions/2024_03_13_0518-82a0c686152d_add_title_error_code_mapping_and_errors_.py | Python             |         22 |          7 |         10 |         39 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/versions/2024_03_22_0010-ffe2f57bd288_create_output_parameter.py                  | Python             |         71 |          5 |         10 |         86 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/versions/2024_04_03_2257-4630ab8c198e_create_bitwarden_credential_parameter_.py   | Python             |         53 |          5 |         10 |         68 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/versions/2024_04_08_2347-ea8e24d0bc8e_add_orgs_max_retries_per_step.py            | Python             |         16 |          5 |         10 |         31 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/versions/2024_04_09_0058-8335d7fecef9_add_new_indices_to_tasks_table.py           | Python             |         19 |          5 |          9 |         33 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/versions/2024_04_23_2153-24303f1669a7_add_domain_to_organizations_table.py        | Python             |         18 |          5 |         10 |         33 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/versions/2024_04_28_2320-68d78072fdb5_add_org_task_step_index.py                  | Python             |         15 |          5 |          9 |         29 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/versions/2024_05_05_0249-c4dca14a5e69_add_org_task_index_for_steps_table.py       | Python             |         15 |          5 |          9 |         29 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/versions/2024_05_11_2104-8792454ce498_add_max_steps_per_run_to_task.py            | Python             |         16 |          5 |         10 |         31 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/versions/2024_05_14_0114-bf561125112f_add_workflow_permanent_id_and_version_.py   | Python             |         18 |          5 |         10 |         33 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/alembic/versions/2024_05_14_0245-baec12642d77_add_workflow_permanent_id_constraint_.py    | Python             |         26 |          5 |         10 |         41 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docker-compose.yml                                                                        | YAML               |         45 |         15 |          5 |         65 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/README.md                                                                            | Markdown           |         29 |          0 |         15 |         44 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/api-reference/endpoint/create.mdx                                                    | MDX                |          4 |          0 |          1 |          5 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/api-reference/endpoint/delete.mdx                                                    | MDX                |          4 |          0 |          1 |          5 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/api-reference/endpoint/get.mdx                                                       | MDX                |          4 |          0 |          1 |          5 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/api-reference/introduction.mdx                                                       | MDX                |         26 |          0 |          8 |         34 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/api-reference/openapi.json                                                           | JSON               |        195 |          0 |          0 |        195 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/development.mdx                                                                      | MDX                |         68 |          0 |         31 |         99 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/essentials/code.mdx                                                                  | MDX                |         29 |          0 |          9 |         38 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/essentials/images.mdx                                                                | MDX                |         41 |          0 |         19 |         60 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/essentials/markdown.mdx                                                              | MDX                |         57 |          0 |         32 |         89 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/essentials/navigation.mdx                                                            | MDX                |         49 |          0 |         18 |         67 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/essentials/reusable-snippets.mdx                                                     | MDX                |         78 |          0 |         33 |        111 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/essentials/settings.mdx                                                              | MDX                |        266 |          0 |         53 |        319 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/favicon.svg                                                                          | XML                |         49 |          0 |          1 |         50 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/introduction.mdx                                                                     | MDX                |         64 |          0 |          8 |         72 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/logo/dark.svg                                                                        | XML                |         55 |          0 |          1 |         56 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/logo/light.svg                                                                       | XML                |         51 |          0 |          1 |         52 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/mint.json                                                                            | JSON               |         86 |          0 |          0 |         86 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/quickstart.mdx                                                                       | MDX                |         70 |          0 |         17 |         87 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/docs/snippets/snippet-intro.mdx                                                           | MDX                |          4 |          0 |          1 |          5 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/entrypoint-skyvern.sh                                                                     | Shell Script       |         11 |          4 |          6 |         21 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/entrypoint-streamlit.sh                                                                   | Shell Script       |          2 |          2 |          3 |          7 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/mypy.ini                                                                                  | Ini                |          9 |          0 |          2 |         11 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/poetry.lock                                                                               | toml               |      6,649 |          0 |        589 |      7,238 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/pyproject.toml                                                                            | toml               |        100 |          0 |          8 |        108 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/run_alembic_check.sh                                                                      | Shell Script       |          3 |          3 |          1 |          7 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/run_skyvern.sh                                                                            | Shell Script       |          9 |          1 |          3 |         13 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/run_ui.sh                                                                                 | Shell Script       |          2 |          0 |          1 |          3 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/scripts/create_api_key.py                                                                 | Python             |         32 |          3 |         13 |         48 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/scripts/create_organization.py                                                            | Python             |         13 |          0 |          9 |         22 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/setup.sh                                                                                  | Shell Script       |        210 |         36 |         35 |        281 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/.prettierignore                                                          | Ignore             |          5 |          0 |          0 |          5 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/README.md                                                                | Markdown           |         43 |          0 |         23 |         66 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/artifactServer.js                                                        | JavaScript         |         46 |          0 |          8 |         54 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/components.json                                                          | JSON               |         17 |          0 |          1 |         18 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/index.html                                                               | HTML               |         13 |          0 |          1 |         14 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/localServer.js                                                           | JavaScript         |         20 |          2 |          4 |         26 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/package-lock.json                                                        | JSON               |      6,580 |          0 |          1 |      6,581 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/package.json                                                             | JSON               |         87 |          0 |          1 |         88 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/postcss.config.js                                                        | JavaScript         |          6 |          0 |          1 |          7 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/App.tsx                                                              | TypeScript JSX     |         15 |          0 |          3 |         18 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/api/AxiosClient.ts                                                   | TypeScript         |         42 |          0 |         10 |         52 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/api/QueryClient.ts                                                   | TypeScript         |          9 |          0 |          3 |         12 |
